year,Globalavg_temp,Kunming avg_temp,Global 5 year MA,Kunming 5 year MA
1840,7.8,13.99,,
1841,7.69,14.21,,
1842,8.02,14.09,,
1843,8.17,14.2,,
1844,7.65,13.74,7.866,14.046
1845,7.85,13.69,7.876,13.986
1846,8.55,14.22,8.048,13.988
1847,8.09,13.83,8.062,13.936
1848,7.98,13.68,8.024,13.832
1849,7.98,13.85,8.09,13.854
1850,7.9,14.69,8.1,14.054
1851,8.18,14.47,8.026,14.104
1852,8.1,14.05,8.028,14.148
1853,8.04,14.44,8.04,14.3
1854,8.21,14.36,8.086,14.402
1855,8.11,14.11,8.128,14.286
1856,8,13.73,8.092,14.138
1857,7.76,14.74,8.024,14.276
1858,8.1,14.09,8.036,14.206
1859,8.25,14.26,8.044,14.186
1860,7.96,14.01,8.014,14.166
1861,7.85,13.91,7.984,14.202
1862,7.56,8.42,7.944,12.938
1863,8.11,13.92,7.946,12.904
1864,7.98,13.76,7.892,12.804
1865,8.18,14.32,7.936,12.866
1866,8.29,14.26,8.024,12.936
1867,8.44,14.38,8.2,14.128
1868,8.25,14.32,8.228,14.208
1869,8.43,14.13,8.318,14.282
1870,8.2,14.26,8.322,14.27
1871,8.12,14.32,8.288,14.282
1872,8.19,14.44,8.238,14.294
1873,8.35,14.37,8.258,14.304
1874,8.43,14.26,8.258,14.33
1875,7.86,14.06,8.19,14.29
1876,8.08,13.97,8.182,14.22
1877,8.54,14.16,8.252,14.164
1878,8.83,14.65,8.348,14.22
1879,8.17,14.62,8.296,14.292
1880,8.12,14.04,8.348,14.288
1881,8.27,14.28,8.386,14.35
1882,8.13,14.25,8.304,14.368
1883,7.98,13.85,8.134,14.208
1884,7.77,13.65,8.054,14.014
1885,7.92,13.87,8.014,13.98
1886,7.95,14.05,7.95,13.934
1887,7.91,14.09,7.906,13.902
1888,8.09,14.3,7.928,13.992
1889,8.32,14.53,8.038,14.168
1890,7.97,14.41,8.048,14.276
1891,8.02,14.48,8.062,14.362
1892,8.07,14.11,8.094,14.366
1893,8.06,13.78,8.088,14.262
1894,8.16,14.26,8.056,14.208
1895,8.15,14.3,8.092,14.186
1896,8.21,14.32,8.13,14.154
1897,8.29,14.57,8.174,14.246
1898,8.18,14.56,8.198,14.402
1899,8.4,14.01,8.246,14.352
1900,8.5,14.4,8.316,14.372
1901,8.54,14.35,8.382,14.378
1902,8.3,14.95,8.384,14.454
1903,8.22,14.23,8.392,14.388
1904,8.09,14.3,8.33,14.446
1905,8.23,13.97,8.276,14.36
1906,8.38,14.36,8.244,14.362
1907,7.95,14.27,8.174,14.226
1908,8.19,14.11,8.168,14.202
1909,8.18,14.45,8.186,14.232
1910,8.22,14.26,8.184,14.29
1911,8.18,14.28,8.144,14.274
1912,8.17,14.22,8.188,14.264
1913,8.3,14.07,8.21,14.256
1914,8.59,14.75,8.292,14.316
1915,8.59,14.78,8.366,14.42
1916,8.23,14.23,8.376,14.41
1917,8.02,13.96,8.346,14.358
1918,8.13,14.02,8.312,14.348
1919,8.38,14.76,8.27,14.35
1920,8.36,14.59,8.224,14.312
1921,8.57,14.65,8.292,14.396
1922,8.41,14.77,8.37,14.558
1923,8.42,14.74,8.428,14.702
1924,8.51,14.77,8.454,14.704
1925,8.53,13.99,8.488,14.584
1926,8.73,14.65,8.52,14.584
1927,8.52,14.43,8.542,14.516
1928,8.63,14.5,8.584,14.468
1929,8.24,14.38,8.53,14.39
1930,8.63,14.35,8.55,14.462
1931,8.72,15.06,8.548,14.544
1932,8.71,14.3,8.586,14.518
1933,8.34,14.83,8.528,14.584
1934,8.63,14.15,8.606,14.538
1935,8.52,14.88,8.584,14.644
1936,8.55,14.31,8.55,14.494
1937,8.7,15.33,8.548,14.7
1938,8.86,14.9,8.652,14.714
1939,8.76,14.71,8.678,14.826
1940,8.76,14.76,8.726,14.802
1941,8.77,15.09,8.77,14.958
1942,8.73,15.12,8.776,14.916
1943,8.76,14.82,8.756,14.9
1944,8.85,14.81,8.774,14.92
1945,8.58,14.54,8.738,14.876
1946,8.68,16.15,8.72,15.088
1947,8.8,15.29,8.734,15.122
1948,8.75,14.9,8.732,15.138
1949,8.59,14.95,8.68,15.166
1950,8.37,14.7,8.638,15.198
1951,8.63,14.92,8.628,14.952
1952,8.64,15.34,8.596,14.962
1953,8.87,15.34,8.62,15.05
1954,8.56,14.96,8.614,15.052
1955,8.63,14.48,8.666,15.008
1956,8.28,14.56,8.596,14.936
1957,8.73,14.71,8.614,14.81
1958,8.77,14.96,8.594,14.734
1959,8.73,14.62,8.628,14.666
1960,8.58,15.15,8.618,14.8
1961,8.8,14.82,8.722,14.852
1962,8.75,14.45,8.726,14.8
1963,8.86,14.72,8.744,14.752
1964,8.41,14.83,8.68,14.794
1965,8.53,14.58,8.67,14.68
1966,8.6,15.06,8.63,14.728
1967,8.7,14.34,8.62,14.706
1968,8.52,14.51,8.552,14.664
1969,8.6,15.07,8.59,14.712
1970,8.7,14.56,8.624,14.708
1971,8.6,14,8.624,14.496
1972,8.5,14.65,8.584,14.558
1973,8.95,15.03,8.67,14.662
1974,8.47,14.39,8.644,14.526
1975,8.74,14.81,8.652,14.576
1976,8.35,14.26,8.602,14.628
1977,8.85,14.37,8.672,14.572
1978,8.69,14.45,8.62,14.456
1979,8.73,14.91,8.672,14.56
1980,8.98,15.12,8.72,14.622
1981,9.17,15.12,8.884,14.794
1982,8.64,14.73,8.842,14.866
1983,9.03,14.46,8.91,14.868
1984,8.69,14.8,8.902,14.846
1985,8.66,14.42,8.838,14.706
1986,8.83,14.65,8.77,14.612
1987,8.99,15.29,8.84,14.724
1988,9.2,15.24,8.874,14.88
1989,8.92,14.88,8.92,14.896
1990,9.23,14.94,9.034,15
1991,9.18,14.93,9.104,15.056
1992,8.84,14.21,9.074,14.84
1993,8.87,14.48,9.008,14.688
1994,9.04,14.93,9.032,14.698
1995,9.35,14.62,9.056,14.634
1996,9.04,14.57,9.028,14.562
1997,9.2,14.46,9.1,14.612
1998,9.52,15.47,9.23,14.81
1999,9.29,15.18,9.28,14.86
2000,9.2,14.53,9.25,14.842
2001,9.41,14.93,9.324,14.914
2002,9.57,15.02,9.398,15.026
2003,9.53,15.36,9.4,15.004
2004,9.32,14.6,9.406,14.888
2005,9.7,15.36,9.506,15.054
2006,9.53,15.32,9.53,15.132
2007,9.73,14.68,9.562,15.064
2008,9.43,14.52,9.542,14.896
2009,9.51,15.55,9.58,15.086
2010,9.7,15.75,9.58,15.164
2011,9.52,14.59,9.578,15.018
2012,9.51,15.47,9.534,15.176
2013,9.61,16.53,9.57,15.578
2014,9.57,,,
2015,9.83,,,
